mA/VL,ci,qi,c0
7.0,0.0384,1.071,0.0459
17.0,0.0322,0.806
16.7,0.0290,1.012
22.0,0.0254,0.932
26.7,0.0244,0.805
31.3,0.0221,0.760
43.0,0.0137,0.749
57.0,0.0110,0.612
67.0,0.0085,0.558
84.0,0.0057,0.479
